NMH,dm2,theta13,theta23,deltacp,nyear,NMHFit,dm2Fit,theta13Fit,theta23Fit,deltacpFit,Showers,Tracks,Edm,ncalls,normNCFit,nuenuebarFit,numunumubarFit,nuenumuFit,spectralFit,escaleFit,sigmaShowers,sigmaTracks,sigma
-1,0.00242,8.54,40,0,3,1,0.00247357,8.54,39.9132,0,1,1,5.28392e-08,38,1,0,0,0,0,0,3.96669,1.49886,4.24043
-1,0.00242,8.54,40,0,3,1,0.00247324,8.54,39.9161,0,1,1,0.00022101,70,1,0,0,0,0,0,3.96691,1.49835,4.24045
-1,0.00242,8.54,41,0,3,1,0.00247315,8.54,40.7567,0,1,1,4.16305e-05,29,1,0,0,0,0,0,4.20154,1.55328,4.47947
-1,0.00242,8.54,41,0,3,1,0.00247332,8.54,40.7567,0,1,1,1.69612e-06,52,1,0,0,0,0,0,4.20166,1.55295,4.47946
-1,0.00242,8.54,42,0,3,1,0.00247308,8.54,41.5039,0,1,1,0.000129114,28,1,0,0,0,0,0,4.3928,1.62115,4.68239
-1,0.00242,8.54,42,0,3,1,0.00247329,8.54,41.5001,0,1,1,1.01711e-06,45,1,0,0,0,0,0,4.39227,1.62256,4.68238
-1,0.00242,8.54,43,0,3,1,0.00247324,8.54,42.0931,0,1,1,0.000313475,28,1,0,0,0,0,0,4.49769,1.7133,4.81297
-1,0.00242,8.54,43,0,3,1,0.00247357,8.54,42.1055,0,1,1,0.000158821,40,1,0,0,0,0,0,4.50109,1.70436,4.81296
-1,0.00242,8.54,44,0,3,1,0.00247385,8.54,42.506,0,1,1,0.000836182,28,1,0,0,0,0,0,4.47827,1.79568,4.82488
-1,0.00242,8.54,44,0,3,1,0.0024731,8.54,42.5224,0,1,1,0.000610354,37,1,0,0,0,0,0,4.48193,1.78646,4.82486
-1,0.00242,8.54,45,0,3,1,0.00247355,8.54,42.7545,0,1,1,4.0545e-06,34,1,0,0,0,0,0,4.31574,1.80336,4.67736
-1,0.00242,8.54,45,0,3,1,0.00247356,8.54,42.7557,0,1,1,3.94259e-06,47,1,0,0,0,0,0,4.31612,1.80247,4.67736
-1,0.00242,8.54,46,0,3,1,0.00247309,8.54,42.7805,0,1,1,0.000361518,29,1,0,0,0,0,0,4.00214,1.74188,4.36479
-1,0.00242,8.54,46,0,3,1,0.00247304,8.54,42.7927,0,1,1,3.44069e-06,49,1,0,0,0,0,0,4.00572,1.73356,4.36474
-1,0.00242,8.54,47,0,3,1,0.00247216,8.54,42.606,0,1,1,2.72429e-06,34,1,0,0,0,0,0,3.6027,1.62032,3.9503
-1,0.00242,8.54,47,0,3,1,0.0024721,8.54,42.6089,0,1,1,3.47607e-05,47,1,0,0,0,0,0,3.60353,1.61848,3.9503
-1,0.00242,8.54,48,0,3,1,0.00247101,8.54,42.1491,0,1,1,0.000711948,28,1,0,0,0,0,0,3.23483,1.56561,3.5938
-1,0.00242,8.54,48,0,3,1,0.00247131,8.54,42.1619,0,1,1,1.1231e-05,52,1,0,0,0,0,0,3.23726,1.56039,3.5937
-1,0.00242,8.54,49,0,3,1,0.0024707,8.54,41.4692,0,1,1,0.000235608,28,1,0,0,0,0,0,3.12,1.61757,3.51439
-1,0.00242,8.54,49,0,3,1,0.00247102,8.54,41.4641,0,1,1,3.69171e-07,78,1,0,0,0,0,0,3.11761,1.62211,3.51435
-1,0.00242,8.54,50,0,3,1,0.00247111,8.54,40.5964,0,1,1,2.67976e-05,29,1,0,0,0,0,0,3.3963,1.79465,3.84131
-1,0.00242,8.54,50,0,3,1,0.00245194,8.54,49.1877,0,1,1,6.23651e-05,28,1,0,0,0,0,0,5.48965,4.10002,6.85175
